:START_ID(disease)|:END_ID(symptoms)|type:STRING|name:STRING
7369|43035|症状|症状
7679|39165|症状|症状
346|39749|症状|症状
4555|43677|症状|症状
6176|38729|症状|症状
2070|40753|症状|症状
4053|38133|症状|症状
2840|42099|症状|症状
1439|40299|症状|症状
5523|41054|症状|症状
1077|43902|症状|症状
1744|41571|症状|症状
2515|41211|症状|症状
4538|38927|症状|症状
7580|42003|症状|症状
1218|43120|症状|症状
1897|38355|症状|症状
5101|42875|症状|症状
2248|38509|症状|症状
865|38436|症状|症状
4214|40774|症状|症状
7926|38987|症状|症状
1584|43484|症状|症状
3211|41512|症状|症状
7612|38926|症状|症状
7982|39334|症状|症状
3286|44037|症状|症状
7752|39184|症状|症状
8497|43484|症状|症状
497|39760|症状|症状
1815|40513|症状|症状
4187|40590|症状|症状
5465|40754|症状|症状
5695|42251|症状|症状
5335|42270|症状|症状
38|39069|症状|症状
2491|42000|症状|症状
6815|39087|症状|症状
3156|40083|症状|症状
3180|38595|症状|症状
152|39971|症状|症状
1169|40171|症状|症状
135|41823|症状|症状
783|39091|症状|症状
4703|40867|症状|症状
1032|40620|症状|症状
5172|40513|症状|症状
4060|43411|症状|症状
344|39338|症状|症状
1052|42251|症状|症状
5454|43140|症状|症状
7771|42742|症状|症状
4119|38734|症状|症状
5536|40788|症状|症状
2341|41449|症状|症状
2614|39605|症状|症状
6564|43198|症状|症状
5006|42701|症状|症状
7400|40062|症状|症状
6574|42237|症状|症状
4451|38143|症状|症状
8158|43213|症状|症状
1859|43006|症状|症状
5915|44047|症状|症状
4793|40447|症状|症状
3425|41567|症状|症状
4382|41873|症状|症状
1738|42994|症状|症状
8770|42994|症状|症状
3218|40885|症状|症状
2451|39317|症状|症状
3042|42360|症状|症状
20|38861|症状|症状
3310|42492|症状|症状
4218|41943|症状|症状
7950|42696|症状|症状
6302|40701|症状|症状
8542|38712|症状|症状
3048|41970|症状|症状
121|42152|症状|症状
1121|42390|症状|症状
2661|38573|症状|症状
5250|39836|症状|症状
2592|43340|症状|症状
5123|41321|症状|症状
6352|41952|症状|症状
6475|38227|症状|症状
4905|39437|症状|症状
2999|44047|症状|症状
8023|43355|症状|症状
6208|39694|症状|症状
2203|39637|症状|症状
3947|41244|症状|症状
5968|40407|症状|症状
4954|42707|症状|症状
7994|42767|症状|症状
2726|43277|症状|症状
6160|40407|症状|症状
6857|38371|症状|症状
7836|38783|症状|症状
2479|38737|症状|症状
4743|43845|症状|症状
2308|38927|症状|症状
3448|40424|症状|症状
4967|43921|症状|症状
7077|43942|症状|症状
3336|43587|症状|症状
2529|42071|症状|症状
1904|44047|症状|症状
597|40257|症状|症状
6220|44013|症状|症状
2076|40367|症状|症状
1176|41403|症状|症状
358|40867|症状|症状
877|41009|症状|症状
1264|43948|症状|症状
4575|39705|症状|症状
5790|42373|症状|症状
5697|40665|症状|症状
1187|39763|症状|症状
6049|40689|症状|症状
1454|40177|症状|症状
1115|38553|症状|症状
1451|43052|症状|症状
3850|43362|症状|症状
6374|40358|症状|症状
5686|38133|症状|症状
1447|42410|症状|症状
1089|41398|症状|症状
1213|42602|症状|症状
3248|43100|症状|症状
4711|42451|症状|症状
2786|41290|症状|症状
5037|38712|症状|症状
5274|38227|症状|症状
6091|40448|症状|症状
7870|41054|症状|症状
189|38577|症状|症状
7264|41081|症状|症状
8293|40665|症状|症状
3522|40974|症状|症状
5721|39424|症状|症状
217|39694|症状|症状
8056|40980|症状|症状
3299|43638|症状|症状
6447|38889|症状|症状
5684|41532|症状|症状
2642|41101|症状|症状
7971|40867|症状|症状
3042|43638|症状|症状
722|41840|症状|症状
836|43002|症状|症状
1088|40440|症状|症状
5537|41623|症状|症状
7454|42251|症状|症状
7621|40620|症状|症状
8251|43213|症状|症状
2623|38679|症状|症状
5843|38436|症状|症状
7339|41101|症状|症状
6589|39670|症状|症状
6713|38679|症状|症状
4294|40083|症状|症状
7374|40348|症状|症状
973|40311|症状|症状
3121|41862|症状|症状
6131|42060|症状|症状
3617|41054|症状|症状
7119|39276|症状|症状
400|39418|症状|症状
7662|41952|症状|症状
1693|40884|症状|症状
4757|40689|症状|症状
3918|42764|症状|症状
1505|42949|症状|症状
1617|41321|症状|症状
3212|41244|症状|症状
514|42601|症状|症状
8003|39873|症状|症状
723|40348|症状|症状
832|38712|症状|症状
5087|42458|症状|症状
7389|39342|症状|症状
6224|38918|症状|症状
780|39424|症状|症状
4410|41197|症状|症状
3525|42423|症状|症状
2713|40689|症状|症状
8749|42129|症状|症状
4439|41979|症状|症状
429|41101|症状|症状
2150|39873|症状|症状
6775|43312|症状|症状
8390|38406|症状|症状
2472|40665|症状|症状
40|44037|症状|症状
542|43815|症状|症状
6974|40867|症状|症状
2647|41540|症状|症状
469|39439|症状|症状
3845|40055|症状|症状
5968|38596|症状|症状
5519|40063|症状|症状
4006|40867|症状|症状
7300|39091|症状|症状
8805|42709|症状|症状
8753|39351|症状|症状
5690|39224|症状|症状
8565|42683|症状|症状
7999|43855|症状|症状
1709|40407|症状|症状
1180|43277|症状|症状
3155|41083|症状|症状
7272|39963|症状|症状
624|38606|症状|症状
768|43845|症状|症状
4411|39735|症状|症状
3535|40847|症状|症状
633|43312|症状|症状
6282|42586|症状|症状
4966|42855|症状|症状
4278|43508|症状|症状
3983|40407|症状|症状
2740|38712|症状|症状
7501|38690|症状|症状
1937|38810|症状|症状
8691|42299|症状|症状
4618|41083|症状|症状
1944|39269|症状|症状
984|42002|症状|症状
2782|43845|症状|症状
5903|40667|症状|症状
7689|43162|症状|症状
493|41164|症状|症状
730|38933|症状|症状
1049|40237|症状|症状
5376|44087|症状|症状
7660|39311|症状|症状
6698|39138|症状|症状
5740|39025|症状|症状
3683|40463|症状|症状
1907|38920|症状|症状
7450|40241|症状|症状
63|43148|症状|症状
2330|38780|症状|症状
4989|41286|症状|症状
6790|39418|症状|症状
6389|41691|症状|症状
7036|39142|症状|症状
7982|39416|症状|症状
4042|43927|症状|症状
4899|42451|症状|症状
7071|39119|症状|症状
5041|42251|症状|症状
8518|43375|症状|症状
6727|42299|症状|症状
7221|40983|症状|症状
7760|38712|症状|症状
7837|43148|症状|症状
7053|43562|症状|症状
204|39338|症状|症状
5495|38301|症状|症状
4641|40457|症状|症状
2521|43166|症状|症状
3964|41918|症状|症状
731|43287|症状|症状
6044|39694|症状|症状
3943|38794|症状|症状
7932|39532|症状|症状
4513|38259|症状|症状
332|41415|症状|症状
3169|40867|症状|症状
6474|40241|症状|症状
1336|39622|症状|症状
6971|40909|症状|症状
6082|39570|症状|症状
7795|41567|症状|症状
2154|42299|症状|症状
7108|44020|症状|症状
7596|39741|症状|症状
983|40408|症状|症状
1459|39580|症状|症状
2481|42166|症状|症状
6972|42843|症状|症状
5931|38930|症状|症状
8039|40218|症状|症状
4482|43942|症状|症状
167|43277|症状|症状
6357|41004|症状|症状
7980|41943|症状|症状
5918|42375|症状|症状
2647|41555|症状|症状
3264|38642|症状|症状
3|40557|症状|症状
877|38736|症状|症状
6423|43114|症状|症状
6|40906|症状|症状
6714|39709|症状|症状
6609|42526|症状|症状
8139|42268|症状|症状
2478|38231|症状|症状
4351|40456|症状|症状
824|43845|症状|症状
5298|40448|症状|症状
1470|42246|症状|症状
1087|43213|症状|症状
3150|41197|症状|症状
3367|40585|症状|症状
8103|39110|症状|症状
6761|42251|症状|症状
350|42927|症状|症状
4022|43845|症状|症状
4653|43594|症状|症状
2913|40407|症状|症状
