:START_ID(disease)|:END_ID(drug)|type:STRING|name:STRING
3261|9112|好评药品|好评药品
2854|10928|好评药品|好评药品
5847|10269|好评药品|好评药品
7385|10008|好评药品|好评药品
6958|8901|好评药品|好评药品
4818|11694|好评药品|好评药品
3113|9274|好评药品|好评药品
8769|10482|好评药品|好评药品
6705|9017|好评药品|好评药品
1016|11916|好评药品|好评药品
8650|12155|好评药品|好评药品
6873|9168|好评药品|好评药品
1359|12134|好评药品|好评药品
5686|9004|好评药品|好评药品
4690|11782|好评药品|好评药品
1659|10976|好评药品|好评药品
3847|10866|好评药品|好评药品
5183|11834|好评药品|好评药品
6657|9257|好评药品|好评药品
4089|9501|好评药品|好评药品
3151|9824|好评药品|好评药品
3284|9132|好评药品|好评药品
1010|10737|好评药品|好评药品
5127|9756|好评药品|好评药品
8189|9310|好评药品|好评药品
1883|11925|好评药品|好评药品
5214|11897|好评药品|好评药品
8348|9092|好评药品|好评药品
6699|11236|好评药品|好评药品
8264|10097|好评药品|好评药品
7322|8815|好评药品|好评药品
2575|11017|好评药品|好评药品
6708|12569|好评药品|好评药品
385|12225|好评药品|好评药品
2789|12628|好评药品|好评药品
3021|10723|好评药品|好评药品
4593|11483|好评药品|好评药品
4607|11638|好评药品|好评药品
4789|10650|好评药品|好评药品
6204|10441|好评药品|好评药品
508|11451|好评药品|好评药品
3847|12356|好评药品|好评药品
6356|10377|好评药品|好评药品
2769|9786|好评药品|好评药品
4081|11501|好评药品|好评药品
8136|10756|好评药品|好评药品
2777|11273|好评药品|好评药品
8235|11282|好评药品|好评药品
1357|12579|好评药品|好评药品
8689|12187|好评药品|好评药品
4517|9626|好评药品|好评药品
3845|12041|好评药品|好评药品
72|10816|好评药品|好评药品
2951|9862|好评药品|好评药品
3472|9957|好评药品|好评药品
2126|10003|好评药品|好评药品
5525|11773|好评药品|好评药品
8347|11451|好评药品|好评药品
5128|12283|好评药品|好评药品
4408|11050|好评药品|好评药品
6438|12450|好评药品|好评药品
7724|10019|好评药品|好评药品
8672|9975|好评药品|好评药品
3366|11536|好评药品|好评药品
2130|11263|好评药品|好评药品
4307|9511|好评药品|好评药品
8013|8993|好评药品|好评药品
5329|8935|好评药品|好评药品
1121|12051|好评药品|好评药品
3233|10961|好评药品|好评药品
766|12191|好评药品|好评药品
7984|11588|好评药品|好评药品
2814|9584|好评药品|好评药品
5690|10726|好评药品|好评药品
1336|12586|好评药品|好评药品
2550|10438|好评药品|好评药品
4597|10979|好评药品|好评药品
6578|8932|好评药品|好评药品
1775|9354|好评药品|好评药品
6522|8839|好评药品|好评药品
7862|12628|好评药品|好评药品
819|11559|好评药品|好评药品
1205|8836|好评药品|好评药品
1418|12388|好评药品|好评药品
3493|11173|好评药品|好评药品
1224|11017|好评药品|好评药品
2962|12159|好评药品|好评药品
8773|11997|好评药品|好评药品
3954|10134|好评药品|好评药品
